"id","tags"
"1","particles spinning"
"2","theory string"
"3","acting group"
"7","overcome prove"
"9","integral stationary"
"13","sound produced"
"15","theory string"
"17","sky blue"
"19","energy higher"
"21","carlo monte"
"24","bike turn"
"26","electromagnetic formula"
"27","particle measurement"
"29","average frac"
"31","theory lay"
"32","sink experiments"
"35","magnets energy"
"37","world mathematical"
"41","field manifold"
"49","touchscreen detected"
"52","magnets poles"
"62","circular km"
"68","stress filters"
"71","phase intuitive"
"72","therapy cancer"
"73","solutions equation"
"75","remember deformation"
"78","forced teacher"
"79","experiments interaction"
"83","laser light"
"85","mass measuring"
"89","law gravity"
"90","stars beams"
"93","law fall"
"94","beam laser"
"95","model current"
"98","binding energy"
"100","energy calculate"
"101","beam production"
"102","force opposite"
"111","classical book"
"115","islands phase"
"122","mass rest"
"123","mass measurements"
"127","modern tools"
"129","implications model"
"134","quantum share"
"139","close recent"
"141","reference process"
"142","boiling water"
"145","temperature tap"
"147","particles property"
"156","northern lights"
"159","gravity acting"
"160","experiments continuing"
"166","energy hearing"
"167","earth field"
"168","process reversible"
"173","acceleration quantity"
"185","claim discovered"
"186","torque acceleration"
"191","core mechanism"
"193","lie mathematical"
"196","transfer violate"
"197","electron forces"
"198","particles particle"
"202","physical sound"
"208","delta frac"
"214","falling free"
"217","spaghetti mouth"
"218","experiments simulate"
"222","software free"
"228","rings axis"
"234","student study"
"236","element electron"
"237","irregular volume"
"239","float boat"
"252","quantum theory"
"257","accelerated particles"
"258","angle maximum"
"268","upwards action"
"270","clothing black"
"271","angular diagram"
"272","intuitive quantum"
"286","intuitive vectors"
"290","lift wings"
"296","energy caveats"
"300","models processes"
"303","water sound"
"304","pitch determines"
"305","intensity effect"
"312","particle classical"
"317","measurements measurement"
"321","mass force"
"326","angular initial"
"328","number angular"
"331","period angular"
"335","electricity instant"
"339","transmission coefficient"
"340","person door"
"341","computer professor"
"347","fish electric"
"353","quantities base"
"356","mass earth"
"357","derive experiments"
"361","frame preferred"
"363","started general"
"364","planet center"
"370","temperature billions"
"371","planet exact"
"379","vacuum compare"
"383","centrifugal exhibit"
"384","impedance transmission"
"386","transform gaussian"
"387","quantum theory"
"388","collisions energy"
"389","sea positive"
"391","matter anti"
"401","draw tools"
"408","holes black"
"409","black methods"
"414","theory number"
